ID,age,work_type,final_weight,education,total_education_yrs,marital_state,job,status,ethnicity,sex,capital_gain,capital_loss,hrs_per_week,nationality,target_income
143,19,Private,184207,Some-college,10,Never-married,Sales,Not-in-family,White,M,0,0,40,US,0
144,21,Private,460835,HS-grad,9,Never-married,Sales,Other-relative,White,M,0,0,45,US,0
145,51,Private,99185,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,0,0,60,US,1
146,41,Private,193882,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,M,0,0,40,US,0
147,51,Private,129177,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,F,0,0,38,US,0
148,51,Private,240988,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,M,0,0,40,Philippines,0
149,23,Private,91189,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,M,0,0,40,US,0
150,51,Federal-gov,293196,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,40,US,1
151,44,Private,194924,HS-grad,9,Married-civ-spouse,Sales,Husband,White,M,0,0,35,US,1
152,41,Private,294270,9th,5,Married-civ-spouse,Transport-moving,Husband,White,M,0,0,35,US,0
153,57,Self-emp-inc,412952,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,40,US,0
154,32,?,143162,10th,6,Married-civ-spouse,?,Wife,White,F,0,0,40,US,0
155,46,Private,186820,Some-college,10,Married-civ-spouse,Other-service,Wife,White,F,5013,0,40,US,0
156,37,Federal-gov,203070,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,43,US,0
157,35,Private,242094,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,Black,M,0,0,40,US,0
158,62,Local-gov,115763,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,F,0,0,40,US,1
159,34,Private,112820,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,White,M,2463,0,40,US,0
160,49,Private,165134,Assoc-voc,11,Never-married,Exec-managerial,Unmarried,White,F,0,0,35,Columbia,0
161,39,Self-emp-not-inc,174308,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,M,0,0,40,US,0
162,37,Self-emp-not-inc,154641,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Husband,White,M,2105,0,50,US,0
163,78,?,363134,HS-grad,9,Widowed,?,Not-in-family,White,F,0,0,1,US,0
164,33,Private,162572,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,M,0,0,55,US,1
165,35,Private,247750,HS-grad,9,Widowed,Other-service,Unmarried,Black,M,0,0,40,US,0
166,38,Private,258761,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,M,0,0,50,US,0
167,40,Private,180985,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,M,0,0,50,US,1
168,33,Private,347623,Masters,14,Never-married,Exec-managerial,Unmarried,White,M,0,0,40,US,0
169,24,Private,161092,Bachelors,13,Never-married,Exec-managerial,Own-child,White,M,0,0,40,US,0
170,45,Private,243631,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,M,0,0,45,China,1
171,45,?,28359,HS-grad,9,Separated,?,Unmarried,White,F,0,0,10,US,0
172,33,Private,323811,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,M,0,0,55,US,0
173,45,Self-emp-inc,191776,Masters,14,Divorced,Sales,Unmarried,White,F,25236,0,42,US,1
174,24,Private,308205,Some-college,10,Never-married,Exec-managerial,Own-child,White,M,0,0,40,US,0
175,61,Self-emp-not-inc,268797,HS-grad,9,Married-civ-spouse,Other-service,Wife,Black,F,0,0,17,US,0
176,33,Private,69251,Assoc-voc,11,Never-married,Sales,Own-child,Asian-Pac-Islander,M,0,0,40,Philippines,0
177,46,Private,190115,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,40,US,1
178,32,Self-emp-not-inc,92531,HS-grad,9,Divorced,Craft-repair,Unmarried,White,M,0,0,40,US,0
179,44,Private,192878,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,M,0,0,40,US,0
180,22,Private,107882,HS-grad,9,Never-married,Prof-specialty,Own-child,White,F,0,0,20,US,0
181,32,Private,180603,Bachelors,13,Married-civ-spouse,Sales,Husband,White,M,0,0,40,US,1
182,36,Local-gov,130620,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,F,0,0,40,China,1
183,28,Private,142764,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,M,0,0,48,US,0
184,39,?,180868,11th,7,Never-married,?,Not-in-family,Black,F,0,0,40,US,0
185,36,Private,29702,HS-grad,9,Married-civ-spouse,Sales,Husband,White,M,7688,0,40,US,1
186,41,?,152880,HS-grad,9,Divorced,?,Not-in-family,Black,F,0,0,28,US,0
187,18,Private,217743,11th,7,Never-married,Sales,Own-child,White,F,0,0,40,US,0
188,28,Private,56179,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,M,2174,0,55,US,0
189,17,Private,198124,11th,7,Never-married,Sales,Own-child,White,M,0,0,20,US,0
190,30,Local-gov,131776,Masters,14,Never-married,Adm-clerical,Not-in-family,White,F,0,0,40,US,0
191,22,Private,362623,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,M,0,0,40,US,0
192,43,Self-emp-not-inc,73883,Bachelors,13,Divorced,Sales,Unmarried,White,M,0,0,45,US,0
193,46,Private,405309,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,M,0,0,40,US,0
194,32,Private,205390,HS-grad,9,Married-civ-spouse,Sales,Husband,White,M,0,0,49,US,0
195,27,Local-gov,225291,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,F,0,0,40,US,0
196,46,Local-gov,121370,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,F,0,0,30,US,0
197,26,Private,187577,Assoc-voc,11,Never-married,Sales,Not-in-family,White,M,0,0,55,US,0
198,20,Private,66917,11th,7,Married-civ-spouse,Farming-fishing,Own-child,White,M,0,0,40,Mexico,0
199,24,Private,403671,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,60,US,0
200,65,Private,196174,10th,6,Divorced,Handlers-cleaners,Not-in-family,White,F,0,0,28,US,0
201,57,Self-emp-not-inc,353808,Some-college,10,Married-civ-spouse,Sales,Husband,White,M,0,0,60,US,1
202,24,Private,206671,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,40,US,0
203,30,Self-emp-not-inc,261943,11th,7,Married-spouse-absent,Craft-repair,Not-in-family,White,M,0,0,30,Honduras,0
204,59,Private,115414,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,M,0,0,40,US,1
205,30,Self-emp-inc,292465,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,M,0,0,40,US,0
206,43,Private,341204,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,F,0,0,40,US,0
207,63,Self-emp-not-inc,106648,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,M,0,0,12,US,0
208,23,Private,163090,Assoc-acdm,12,Never-married,Sales,Own-child,White,M,0,0,20,US,0
209,22,?,216563,HS-grad,9,Never-married,?,Other-relative,White,F,0,0,40,US,0
210,17,Private,191910,10th,6,Never-married,Other-service,Own-child,White,M,0,0,25,US,0
211,24,Private,218215,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,F,0,0,20,US,0
212,22,Private,313873,11th,7,Never-married,Craft-repair,Own-child,White,M,0,0,30,US,0
213,53,State-gov,231472,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,40,US,1
214,23,Private,482082,12th,8,Never-married,Machine-op-inspct,Own-child,White,M,0,0,21,Mexico,0
215,28,Private,119793,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,40,Portugal,0
216,37,Private,133328,HS-grad,9,Divorced,Sales,Unmarried,White,F,0,0,40,US,0
217,46,Self-emp-inc,200949,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,F,0,0,50,?,0
218,50,State-gov,201513,HS-grad,9,Divorced,Adm-clerical,Own-child,White,F,0,0,40,US,0
219,39,Private,190719,Some-college,10,Divorced,Sales,Not-in-family,White,M,0,0,45,US,0
220,62,State-gov,202056,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,M,14084,0,40,US,1
221,60,Self-emp-inc,90915,11th,7,Married-civ-spouse,Transport-moving,Husband,White,M,0,0,40,US,1
222,72,Private,192732,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,M,0,0,20,US,0
223,31,Private,213643,HS-grad,9,Married-civ-spouse,Sales,Husband,White,M,3908,0,40,US,0
224,24,?,32616,Bachelors,13,Divorced,?,Not-in-family,White,F,0,0,40,US,0
225,53,Private,251675,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,M,0,0,40,El-Salvador,0
226,38,Self-emp-not-inc,409189,7th-8th,4,Married-civ-spouse,Sales,Husband,White,M,0,0,40,Mexico,0
227,33,Private,394447,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,33,US,1
228,28,Private,187397,HS-grad,9,Never-married,Other-service,Other-relative,Other,M,0,0,48,Mexico,0
229,50,Private,92079,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,M,0,0,45,US,1
230,31,Self-emp-not-inc,144949,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,M,0,0,60,US,0
231,64,Self-emp-inc,179436,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,M,15024,0,55,US,1
232,20,Private,210781,Some-college,10,Never-married,Adm-clerical,Own-child,White,F,0,0,35,US,0
233,28,Private,87239,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,M,0,0,50,US,1
234,55,Self-emp-not-inc,53566,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,F,0,0,30,US,0
235,24,Private,233419,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,F,0,0,40,US,0
236,30,State-gov,193380,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,M,0,0,35,US,0
237,34,Private,339142,HS-grad,9,Separated,Handlers-cleaners,Unmarried,White,F,0,0,40,US,0
238,42,Private,34037,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,M,0,0,50,US,0
239,38,Private,226311,HS-grad,9,Married-AF-spouse,Other-service,Wife,White,F,0,0,25,US,0
240,57,Local-gov,170066,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,M,0,0,25,US,1
241,19,?,217194,10th,6,Never-married,?,Own-child,White,M,0,0,30,US,0
242,36,Private,169469,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,M,7298,0,40,US,1
243,22,Private,297380,HS-grad,9,Never-married,Sales,Own-child,Black,F,0,0,40,US,0
244,59,Private,113203,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,F,0,0,40,US,0
245,35,Self-emp-not-inc,256992,5th-6th,3,Married-civ-spouse,Other-service,Wife,White,F,0,0,15,Mexico,0
246,48,Local-gov,81154,Assoc-voc,11,Never-married,Protective-serv,Unmarried,White,M,0,0,48,US,0
247,66,Private,146454,Some-college,10,Married-civ-spouse,Sales,Husband,White,M,5556,0,40,US,1
248,41,Self-emp-not-inc,443508,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,M,0,0,50,US,0
249,17,Private,163836,10th,6,Never-married,Sales,Own-child,White,F,0,0,12,US,0
250,46,Private,121168,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,F,0,0,40,US,0
251,88,Self-emp-not-inc,206291,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,40,US,0
252,59,Private,117059,11th,7,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,M,0,0,40,US,0
253,46,Private,306183,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,F,0,0,37,US,0
254,42,Private,143046,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,F,0,1564,38,US,1
255,34,Self-emp-inc,175761,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,M,0,0,60,US,1
256,25,Private,456604,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,M,0,0,40,US,0
257,32,Private,329993,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,M,0,0,50,US,0
258,28,Private,315287,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,M,0,0,40,?,0
259,17,Private,170455,11th,7,Never-married,Sales,Own-child,White,F,0,0,8,US,0
260,26,Private,202203,5th-6th,3,Never-married,Adm-clerical,Own-child,White,F,0,0,40,Mexico,0
